ID;churn
1;0
2;1
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;1
23;0
24;0
25;0
26;0
27;0
28;1
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;1
41;1
42;0
43;0
44;1
45;0
46;0
47;0
48;1
49;0
50;1
51;1
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;1
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;1
81;1
82;0
83;0
84;0
85;0
86;0
87;0
88;0
89;1
90;0
91;0
92;0
93;0
94;0
95;0
96;1
97;0
98;0
99;0
100;0
101;0
102;1
103;0
104;0
105;0
106;0
107;1
108;0
109;0
110;1
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;1
121;0
122;0
123;0
124;0
125;1
126;1
127;0
128;0
129;1
130;0
131;0
132;0
133;0
134;0
135;0
136;1
137;0
138;0
139;0
140;0
141;0
142;0
143;1
144;0
145;1
146;0
147;0
148;0
149;0
150;1
151;0
152;0
153;0
154;1
155;1
156;0
157;0
158;0
159;0
160;0
161;0
162;1
163;0
164;1
165;1
166;1
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;1
194;1
195;0
196;0
197;0
198;1
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;1
207;0
208;1
209;0
210;0
211;1
212;0
213;0
214;1
215;0
216;1
217;1
218;1
219;0
220;0
221;0
222;1
223;1
224;0
225;0
226;0
227;0
228;0
229;1
230;0
231;0
232;0
233;1
234;0
235;0
236;0
237;0
238;0
239;0
240;1
241;0
242;0
243;1
244;0
245;0
246;0
247;0
248;0
249;0
250;0
251;0
252;1
253;1
254;0
255;1
256;0
257;0
258;0
259;1
260;0
261;0
262;0
263;1
264;0
265;1
266;0
267;0
268;0
269;0
270;0
271;0
272;1
273;0
274;1
275;0
276;1
277;1
278;0
279;0
280;0
281;0
282;0
283;0
284;1
285;1
286;0
287;0
288;1
289;0
290;0
291;1
292;0
293;0
294;0
295;1
296;1
297;0
298;1
299;0
300;0
301;0
302;0
303;0
304;0
305;0
306;0
307;0
308;0
309;0
310;0
311;1
312;0
313;0
314;0
315;0
316;1
317;0
318;0
319;0
320;0
321;0
322;0
323;0
324;1
325;1
326;0
327;0
328;0
329;0
330;0
331;0
332;0
333;1
334;0
335;1
336;0
337;0
338;0
339;0
340;0
341;1
342;0
343;1
344;0
345;0
346;0
347;0
348;0
349;1
350;0
351;0
352;0
353;0
354;1
355;1
356;1
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;1
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;0
381;1
382;1
383;0
384;0
385;1
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;1
398;1
399;0
400;0
401;1
402;0
403;0
404;0
405;0
406;1
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
